Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
23/02/2009,#N/A,4.08267,354.04944,2.93417,28.96332,1699.37701,43.9475,#N/A,0.1102,0.73499,0.90901,1203.71378,2018.70763,39.34748,5899.4423,3.13787,775.97309,128.85698,12.20511,14154.83509
24/02/2009,#N/A,4.21953,337.84038,2.90972,28.94654,1650.67647,43.92098,64.40429,0.10862,0.70149,0.91872,1233.55646,1996.34842,38.8769,5886.62331,3.04638,1065.9451,127.59735,12.09026,14211.14068
25/02/2009,16007.86255,4.21456,338.73942,2.95506,28.65878,1677.10104,41.49457,64.78374,0.10884,0.70381,0.92681,1219.55905,2011.13231,39.31458,5747.25087,3.03802,826.8009,129.35721,12.12792,14254.21388
26/02/2009,16262.10908,4.22527,325.54239,3.03964,29.09124,1662.96201,44.05632,64.30839,0.10771,0.69704,0.9263,1205.65177,2070.38837,39.02823,5887.52553,3.01099,724.28566,129.67972,12.01168,14331.45754
27/02/2009,16112.46039,4.13679,319.69269,3.07009,29.01116,1651.93347,43.26109,63.20121,0.1073,0.69318,0.89908,1175.17408,2053.78488,38.41239,5873.10857,2.93737,849.01551,130.45775,11.93033,14140.77453
02/03/2009,14883.83297,3.97691,321.0247,2.94062,28.38546,1587.85402,42.22508,60.46595,0.1036,0.64861,0.8834,1103.13422,2007.17785,37.9444,5697.01129,2.74422,724.28552,125.85895,11.49179,13709.68358
03/03/2009,14988.72118,3.90156,317.86005,2.93281,28.36146,1550.91762,41.9475,59.29825,0.10545,0.66081,0.87932,1114.93957,2029.70364,38.1691,5758.53905,2.80139,953.92571,126.21912,11.43977,13685.94641
04/03/2009,16144.89122,4.00088,337.20536,3.02522,29.81206,1589.0862,41.18883,59.948,0.10722,0.68284,0.8673,1171.7312,2101.38541,38.90099,6078.45466,2.82756,940.89028,130.46309,11.5863,13897.9798
05/03/2009,15676.20173,3.89536,340.8622,2.97652,28.71443,1574.2017,38.10283,58.17695,0.10691,0.67486,0.86945,1134.6423,2068.05476,39.67629,5956.64123,2.76186,957.28803,132.75694,11.51919,12997.77126
06/03/2009,15605.4548,3.88829,336.56534,3.01148,29.50158,1537.16975,39.89006,58.77036,0.10714,0.68313,0.86601,1116.18997,2098.65699,39.53875,6126.34382,2.74114,762.26695,133.84038,11.63851,12950.37368
